no,name,team,score,numOfGame,ScorePergame
1,모따,전남,14,22,0.64
2,노나또,대구,13,23,0.57
3,나드손,수원,12,26,0.46
4,우성용,포항,10,26,0.38
5,김은중,서울,8,24,0.33
6,마르셀,수원,8,26,0.31
7,제칼로,울산,7,12,0.58
8,이리네,부천SK,7,22,0.32
9,다보,부천SK,6,15,0.4
