no,name,team,score,numOfGame,ScorePergame
1,박윤기,유공,9,14,0.64
2,이춘석,대우,8,16,0.5
3,이길용1,포철,7,13,0.54
4,이장수,유공,6,10,0.6
5,오석재,할렐,6,16,0.38
6,김희철,포철,5,13,0.38
7,정해원,대우,4,13,0.31
8,박상인1,할렐,4,16,0.25
9,이태호,대우,3,8,0.38
