no,name,team,score,numOfGame,ScorePergame
1,차상광,포철,28,29,0.97
2,최인영,현대,24,24,1
3,신의손,일화,21,30,0.7
4,이문영,유공,20,19,1.05
5,성원종,대우,19,13,1.46
6,유대순,유공,18,11,1.64
7,박철우,LG,15,10,1.5
8,임종국,LG,10,9,1.11
8,김봉수,LG,10,12,0.83
