no,name,team,score,numOfGame,ScorePergame
1,김용대,부산,54,36,1.5
2,한동진,부천SK,45,31,1.45
3,이운재,수원,44,41,1.07
4,김병지,포항,43,43,1
5,박동석,안양LG,39,25,1.56
5,최은성,대전,39,37,1.05
7,김진식,대구,33,22,1.5
7,박종문,전남,33,33,1
9,이용발,전북,30,25,1.2
10,권찬수,성남,27,22,1.23
