no,name,team,score,numOfGame,ScorePergame
1,조병득,포철,35,25,1.4
2,최인영,현대,32,27,1.19
3,차상광,럭금,31,32,0.97
4,김동훈,대우,28,27,1.04
5,나치선,일화,26,23,1.13
6,김영호1,일화,25,18,1.39
7,유대순,유공,22,23,0.96
8,이문영,유공,18,17,1.06
9,오연교,현대,13,13,1
