no,name,team,score,numOfGame,ScorePergame
1,최은성,대전,53,28,1.89
2,박호진,광주,43,30,1.43
3,하강진,성남,41,27,1.52
4,김병지,경남,40,30,1.33
5,김용대,서울,37,29,1.28
6,김호준1,제주,36,24,1.5
7,정성룡,수원,32,30,1.07
8,권순태,상주,31,15,2.07
8,유현,강원,31,22,1.41
