no,name,team,score,numOfGame,ScorePergame
1,최은성,대전,32,25,1.28
2,정유석,부산,29,24,1.21
2,이용발,부천SK,29,27,1.07
4,박종문,전남,24,19,1.26
5,신의손,안양LG,23,27,0.85
6,신범철,수원,22,16,1.38
6,김병지,포항,22,22,1
8,권정혁,울산,20,12,1.67
9,양지원,울산,19,15,1.27
