no,name,team,score,numOfGame,ScorePergame
1,신의손,천안,49,26,1.88
2,샤샤1,부천유공,38,26,1.46
3,페트로,전남,33,24,1.38
3,김병지,울산,33,25,1.32
5,알렉세이2,전북,27,20,1.35
6,일리치,부산,25,19,1.32
7,이명열,포항,23,22,1.05
8,김봉수,안양LG,22,11,2
8,성원종,전북,22,13,1.69
