no,name,team,score,numOfGame,ScorePergame
1,백민철,대구,57,28,2.04
2,염동균,전남,41,23,1.78
3,유현,강원,40,24,1.67
4,김지혁,광주상,39,26,1.5
5,신화용,포항,38,23,1.65
6,김병지,경남,34,29,1.17
7,김영광1,울산,33,27,1.22
8,김용대,서울,29,30,0.97
8,김호준1,제주,29,31,0.94
10,전상욱,부산,28,21,1.33
