no,name,team,score,numOfGame,ScorePergame
1,권정혁,인천,46,38,1.21
2,김용대,서울,42,35,1.2
2,김병지,전남,42,36,1.17
4,정성룡,수원,41,34,1.21
4,전상욱,성남,41,38,1.08
6,김선규,대전,38,22,1.73
6,박준혁,제주,38,31,1.23
8,이양종,대구,35,24,1.46
9,김근배,강원,34,23,1.48
