no,name,team,score,numOfGame,ScorePergame
1,이정래,경남,35,26,1.35
2,정유석,부산,33,22,1.5
3,최은성,대전,32,26,1.23
4,조준호,제주,23,21,1.1
4,김병지,서울,23,27,0.85
6,김용대,성남,22,23,0.96
7,권순태,전북,21,19,1.11
7,성경모,인천,21,19,1.11
9,신화용,포항,19,12,1.58
10,백민철,대구,16,14,1.14
