no,name,team,score,numOfGame,ScorePergame
1,박동우,부천SK,32,18,1.78
2,최은성,대전,31,17,1.82
2,김병지,울산,31,22,1.41
4,이운재,수원,19,18,1.06
5,신범철,부산,18,16,1.13
6,신의손,천안,16,5,3.2
6,임종국,안양LG,16,14,1.14
8,김봉수,안양LG,12,6,2
8,박철우,전남,12,15,0.8
