no,name,team,score,numOfGame,ScorePergame
1,정기동,포철,24,18,1.33
1,이문영,유공,24,24,1
3,차상광,럭금,17,16,1.06
4,김동훈,대우,13,11,1.18
5,김현태,럭금,12,8,1.5
5,정성교,대우,12,8,1.5
5,오연교,현대,12,17,0.71
8,최인영,현대,7,4,1.75
9,호성호,현대,6,3,2
