no,name,team,foul,numOfGame,FoulPergame
1,곽경근,부천SK,81,31,2.61
2,김진우,수원,65,24,2.71
3,호제리오,전북,64,25,2.56
4,조성환,부천SK,62,32,1.94
5,양종후,수원,57,21,2.71
5,김상훈2,울산,57,24,2.38
5,안드레,안양LG,57,29,1.97
8,이을용,부천SK,55,27,2.04
8,김기동,부천SK,55,30,1.83
