no,name,team,foul,numOfGame,FoulPergame
1,케빈,대전,128,37,3.46
2,설기현,인천,113,40,2.83
3,웨슬리,강원,101,36,2.81
3,오범석,수원,101,39,2.59
5,이진호2,대구,94,39,2.41
6,김신욱,울산,89,35,2.54
7,유경렬,대구,88,31,2.84
8,이한샘,광주,87,29,3
9,김한윤,부산,82,36,2.28
