no,name,team,foul,numOfGame,FoulPergame
1,네또,전북,74,20,3.7
1,라돈치치,인천,74,22,3.36
3,루시아노,부산,64,22,2.91
3,셀미르,인천,64,25,2.56
5,강정훈,대전,63,22,2.86
6,마토,수원,62,20,3.1
6,김정우,울산,62,23,2.7
8,주승진,대전,60,20,3
9,김철호,성남,58,22,2.64
