no,name,team,foul,numOfGame,FoulPergame
1,오범석,포항,90,23,3.91
2,슈바,대전,83,24,3.46
3,마토,수원,78,26,3
4,김남일,수원,66,23,2.87
5,김두현,성남,65,28,2.32
6,조성환,포항,63,23,2.74
7,루시아노,경남,58,26,2.23
8,레안드롱,울산,57,22,2.59
8,마철준,제주,57,25,2.28
