no,name,team,foul,numOfGame,FoulPergame
1,이호,성남,80,28,2.86
2,슈바,전남,74,27,2.74
3,김명중,포항,72,27,2.67
3,라돈치치,성남,72,28,2.57
5,정훈,전북,65,23,2.83
6,박성호,대전,62,25,2.48
7,김한윤,서울,59,22,2.68
8,유병수,인천,57,27,2.11
9,구자철,제주,56,22,2.55
