no,name,team,foul,numOfGame,FoulPergame
1,고정운,일화,58,25,2.32
2,손현준,LG,57,20,2.85
3,황선홍,포항,54,24,2.25
4,라데,포항,52,24,2.17
5,안드레이1,전남,51,23,2.22
5,이경춘,전북,51,24,2.13
5,노상래,전남,51,26,1.96
8,김태영,전남,50,25,2
9,정재권,대우,48,23,2.09
