no,name,team,foul,numOfGame,FoulPergame
1,이광종,유공,45,29,1.55
2,조성환,유공,44,27,1.63
3,이영상,포철,43,26,1.65
4,조정현,유공,40,24,1.67
4,라데,포철,40,27,1.48
6,이경춘,버팔,38,21,1.81
6,문영래,버팔,38,26,1.46
8,아미르,대우,35,21,1.67
9,호나우도,현대,34,21,1.62
10,박남열,일화,33,23,1.43
