no,name,team,foul,numOfGame,FoulPergame
1,김진우,수원,103,28,3.68
2,조성환,부천SK,77,27,2.85
3,호제리오,전북,72,21,3.43
3,서혁수,전북,72,25,2.88
5,세자르2,전남,69,27,2.56
6,황연석,천안,60,20,3
7,샤샤2,수원,58,26,2.23
7,곽경근,부천SK,58,28,2.07
9,올리,수원,57,22,2.59
