no,name,team,foul,numOfGame,FoulPergame
1,송주석,현대,68,29,2.34
2,김상진,럭금,58,26,2.23
3,정영호,일화,55,29,1.9
4,고정운,일화,46,21,2.19
4,박현용,대우,46,28,1.64
6,이재희,대우,45,27,1.67
6,윤상철,럭금,45,30,1.5
8,손형선,포철,44,23,1.91
9,최윤겸,유공,41,21,1.95
