no,name,team,foul,numOfGame,FoulPergame
1,김용세,유공,40,28,1.43
2,이재희,대우,38,28,1.36
3,허정무,현대,37,23,1.61
3,렌스베르겐,현대,37,27,1.37
5,황정연,할렐,33,25,1.32
6,루이스,포철,31,17,1.82
7,박윤기,유공,30,27,1.11
8,강신우,대우,29,27,1.07
8,박창선,대우,29,28,1.04
10,김현복,할렐,28,19,1.47
10,최상국,포철,28,23,1.22
