no,name,team,foul,numOfGame,FoulPergame
1,송주석,울산,52,16,3.25
2,김봉현,전북,50,18,2.78
3,신성환,수원,46,16,2.88
4,조성환,부천SK,43,15,2.87
5,아보라,천안,40,15,2.67
5,조현두,수원,40,17,2.35
7,빅토르,안양LG,39,14,2.79
7,조병영,안양LG,39,14,2.79
7,유상수,부천SK,39,17,2.29
