no,name,team,foul,numOfGame,FoulPergame
1,이재희,대우,54,26,2.08
2,김주성,대우,52,28,1.86
2,강태식,포철,52,30,1.73
4,정해원,대우,48,28,1.71
5,장정,럭금,46,26,1.77
6,정종수,유공,45,28,1.61
7,손형선,대우,44,24,1.83
8,남기영,포철,43,30,1.43
8,변병주,대우,43,30,1.43
