no,name,team,foul,numOfGame,FoulPergame
1,박성호,대전,74,28,2.64
2,김신욱,울산,68,35,1.94
3,웨슬리,전남,66,24,2.75
3,오범석,수원,66,28,2.36
3,설기현,울산,66,34,1.94
6,김은선,광주,65,24,2.71
6,김성환,성남,65,29,2.24
8,김동섭,광주,58,23,2.52
8,김현성,대구,58,26,2.23
10,신광훈,포항,57,25,2.28
