no,name,team,foul,numOfGame,FoulPergame
1,이재희,대우,36,15,2.4
2,박항서,럭금,35,19,1.84
3,김명관,유공,31,15,2.07
3,윤성효,한일,31,20,1.55
5,최진한,럭금,30,14,2.14
6,권혁표,한일,28,15,1.87
7,유재영,한일,27,19,1.42
8,최강희,현대,26,16,1.63
8,정해성,럭금,26,18,1.44
