no,name,team,foul,numOfGame,FoulPergame
1,김상식,성남,68,27,2.52
2,손대호,성남,66,25,2.64
3,스테보,전북,64,25,2.56
3,황지수,포항,64,26,2.46
5,김기동,포항,63,30,2.1
6,김동현3,성남,61,25,2.44
6,유경렬,울산,61,27,2.26
8,박성호,부산,59,23,2.57
9,데닐손,대전,58,24,2.42
