no,name,team,foul,numOfGame,FoulPergame
1,이태홍,일화,53,25,2.12
2,이영상,포철,45,22,2.05
2,임재선,현대,45,26,1.73
4,김상문,유공,44,29,1.52
5,윤상철,LG,43,27,1.59
6,공문배,포철,39,25,1.56
6,유동관,포철,39,25,1.56
8,최동호,현대,38,20,1.9
8,이원철,포철,38,27,1.41
10,라데,포철,37,25,1.48
