no,name,team,foul,numOfGame,FoulPergame
1,설기현,인천,88,26,3.38
2,김신욱,울산,86,36,2.39
3,박종우,부산,81,31,2.61
4,김동섭,성남,80,36,2.22
5,정다훤,경남,73,34,2.15
6,웨슬리,강원,70,32,2.19
7,스레텐,경남,68,33,2.06
8,황지수,포항,67,29,2.31
9,김태환,성남,65,34,1.91
10,안재준,인천,64,31,2.06
