no,name,team,foul,numOfGame,FoulPergame
1,김남일,전남,79,25,3.16
2,김상식,성남,65,25,2.6
3,호제리오,전북,64,21,3.05
4,장철우,대전,60,23,2.61
4,김도훈,전북,60,26,2.31
6,최윤열,안양LG,58,22,2.64
6,서혁수,전북,58,25,2.32
8,이리네,성남,55,15,3.67
9,이승엽,포항,52,26,2
10,신상우,대전,49,24,2.04
