no,name,team,foul,numOfGame,FoulPergame
1,조덕제,대우,71,39,1.82
2,여범규,대우,69,38,1.82
3,공문배,포철,65,34,1.91
3,최진한,럭금,65,38,1.71
5,이종화,현대,64,35,1.83
6,최영일,현대,62,29,2.14
6,손형선,대우,62,34,1.82
8,윤상철,럭금,60,38,1.58
9,이영익,럭금,56,39,1.44
