no,name,team,foul,numOfGame,FoulPergame
1,고정운,일화,57,26,2.19
2,하성준,일화,53,29,1.83
3,김현석2,현대,51,29,1.76
4,윤성효,포철,43,26,1.65
4,허기태,유공,43,28,1.54
6,박태하,포철,42,28,1.5
7,김이주,일화,41,27,1.52
8,방인웅,일화,38,22,1.73
8,안성일,대우,38,27,1.41
8,최영일,현대,38,28,1.36
