no,name,team,foul,numOfGame,FoulPergame
1,라돈치치,성남,83,27,3.07
2,손승준,전북,68,17,4
3,김상식,전북,65,22,2.95
3,오장은1,울산,65,28,2.32
5,오르티고사,울산,63,26,2.42
6,유병수,인천,60,28,2.14
7,이상홍,전남,58,22,2.64
8,리웨이펑,수원,54,24,2.25
8,정성훈1,부산,54,26,2.08
