no,name,team,foul,numOfGame,FoulPergame
1,케빈,인천,57,28,2.04
2,송승민,광주,55,32,1.72
3,김민혁,광주,53,31,1.71
4,로페즈,전북,49,29,1.69
5,최철순,전북,48,25,1.92
6,이찬동,광주,46,21,2.19
7,김병오,수원FC,45,22,2.05
7,김영욱,전남,45,27,1.67
9,강상우,포항,42,24,1.75
9,신진호,상주,42,24,1.75
