no,name,team,foul,numOfGame,FoulPergame
1,구본상,인천,86,33,2.61
2,김은선,수원,80,37,2.16
3,김태환,성남,71,36,1.97
4,손준호,포항,66,25,2.64
5,스테보,전남,64,35,1.83
5,임상협,부산,64,35,1.83
7,로저,수원,62,32,1.94
7,스레텐,경남,62,32,1.94
9,김현,제주,60,33,1.82
