no,name,team,foul,numOfGame,FoulPergame
1,이싸빅,포항,83,24,3.46
2,호제리오,전북,62,23,2.7
3,김경량,전북,59,23,2.57
3,가비,수원,59,24,2.46
5,디디,부산,58,23,2.52
5,고병운,포항,58,26,2.23
7,이정효,부산,56,25,2.24
8,메도,포항,53,18,2.94
8,김상식,성남,53,25,2.12
10,뚜따,안양LG,52,18,2.89
