no,name,team,foul,numOfGame,FoulPergame
1,조광래,대우,28,15,1.87
2,강신우,대우,26,15,1.73
2,장외룡,대우,26,15,1.73
4,박창선,할렐,24,15,1.6
5,정해원,대우,19,13,1.46
5,오석재,할렐,19,16,1.19
7,김형남,포철,17,13,1.31
7,황정연,할렐,17,13,1.31
9,김종만,국민,15,11,1.36
9,이길용1,포철,15,13,1.15
9,이재희,대우,15,13,1.15
