no,name,team,foul,numOfGame,FoulPergame
1,손준호,포항,87,35,2.49
2,김원식,인천,83,31,2.68
3,케빈,인천,75,35,2.14
4,김철호,성남,63,32,1.97
5,주세종,부산,60,35,1.71
6,웨슬리,부산,58,30,1.93
6,김인성,인천,58,32,1.81
8,이찬동,광주,57,30,1.9
9,조성진,수원,56,29,1.93
