no,name,team,foul,numOfGame,FoulPergame
1,라돈치치,인천,84,26,3.23
2,이동식,제주,68,21,3.24
2,유경렬,울산,68,26,2.62
4,손대호,성남,64,20,3.2
5,조원희,수원,61,25,2.44
6,김상식,성남,60,26,2.31
7,김명중,광주상,59,24,2.46
8,한태유,서울,57,23,2.48
9,오장은1,울산,55,24,2.29
