no,name,team,foul,numOfGame,FoulPergame
1,김경량,전북,139,41,3.39
2,이리네,성남,90,38,2.37
2,고병운,포항,90,42,2.14
4,쿠키2,부산,88,22,4
5,호제리오,대구,87,34,2.56
5,김도훈,성남,87,40,2.17
7,최진철,전북,85,33,2.58
8,유경렬,울산,83,34,2.44
9,조성환,전북,82,31,2.65
