no,name,team,foul,numOfGame,FoulPergame
1,유상수,부천유공,77,29,2.66
2,신성환,수원,69,26,2.65
3,윤재훈,울산,67,26,2.58
4,최진철,전북,64,27,2.37
5,윤성효,수원,61,28,2.18
6,조셉,부천유공,59,28,2.11
7,이태홍,천안,55,25,2.2
8,김봉현,전북,53,26,2.04
9,송주석,울산,52,27,1.93
9,조정현,부천유공,52,29,1.79
