no,name,team,foul,numOfGame,FoulPergame
1,김주성,대우,88,37,2.38
2,고정운,일화,82,40,2.05
3,최윤겸,유공,63,37,1.7
4,하성준,일화,61,38,1.61
5,최영일,현대,59,34,1.74
6,이재희,대우,57,28,2.04
6,이영진,LG,57,34,1.68
8,김상문,유공,53,37,1.43
9,박태하,포철,52,31,1.68
