no,name,team,foul,numOfGame,FoulPergame
1,최윤열,전남,61,18,3.39
2,김태영,전남,55,18,3.06
3,신홍기,수원,50,20,2.5
4,김현석2,울산,43,18,2.39
5,유상철,울산,42,20,2.1
6,마시엘,전남,40,17,2.35
6,박태하,포항,40,20,2
6,이문석,울산,40,22,1.82
9,고정운,포항,39,16,2.44
9,뚜레,부산,39,16,2.44
9,이경춘,전북,39,16,2.44
