no,name,team,foul,numOfGame,FoulPergame
1,최태진,대우,37,21,1.76
2,김완수1,포철,36,16,2.25
3,오석재,할렐,35,17,2.06
3,김진옥,할렐,35,18,1.94
5,박항서,럭금,32,19,1.68
6,김대흠,상무,31,21,1.48
7,김성기,유공,29,17,1.71
8,김종환,현대,27,15,1.8
8,현기호,대우,27,18,1.5
