no,name,team,score,numOfGame,ScorePergame
1,박창선,할렐,6,15,0.4
2,김용세,유공,4,16,0.25
3,최상국,포철,4,16,0.25
4,현기호,대우,3,7,0.43
5,이태호,대우,3,8,0.38
6,김민혜,대우,3,9,0.33
7,김창호,유공,3,11,0.27
8,김희철,포철,3,13,0.23
9,이강석,할렐,3,16,0.19
