no,name,team,score,numOfGame,ScorePergame
1,라데,포항,14,32,0.44
2,신홍기,울산,8,25,0.32
3,김경범,천안,8,27,0.3
4,김현석2,울산,8,27,0.3
5,이상윤,천안,7,25,0.28
6,박남열,천안,7,29,0.24
7,노상래,전남,6,28,0.21
8,박건하,수원,6,28,0.21
9,윤정환,부천유공,5,15,0.33
