no,name,team,score,numOfGame,ScorePergame
1,따바레즈,포항,13,28,0.46
2,뽀뽀,경남,10,21,0.48
3,까보레,경남,8,26,0.31
4,에닝요,대구,6,20,0.3
5,우성용,울산,6,26,0.23
6,데닐손,대전,5,24,0.21
7,알미르,울산,5,26,0.19
8,정종관,전북,4,18,0.22
9,남기일,성남,4,19,0.21
