no,name,team,change,numOfGame,changePerGame
1,이성재,부천SK,28,29,0.97
2,전경준,부천SK,27,28,0.96
3,샤리,부천SK,21,21,1
3,이원식,부천SK,21,21,1
5,황연석,성남,20,20,1
6,김대의,성남,18,19,0.95
6,양현정,전북,18,23,0.78
8,조진호,부천SK,17,17,1
8,신진원,대전,17,26,0.65
