no,name,team,change,numOfGame,changePerGame
1,박용지,성남,31,33,0.94
2,파비오,광주,29,37,0.78
3,남준재,성남,28,30,0.93
4,진성욱,인천,27,27,1
4,박세직,인천,27,30,0.9
6,박성호,포항,26,26,1
6,윤주태,서울,26,26,1
6,김동희,성남,26,28,0.93
9,레오나르도,전북,25,37,0.68
