no,name,team,change,numOfGame,changePerGame
1,공오균,대전,20,24,0.83
2,남기일,성남,19,20,0.95
2,프론티니,포항,19,20,0.95
2,김은중,서울,19,25,0.76
5,방승환,인천,17,18,0.94
5,남궁도,광주상,17,19,0.89
5,장남석,대구,17,23,0.74
8,안효연,성남,16,16,1
8,정조국,서울,16,17,0.94
8,주광윤,전남,16,18,0.89
8,배기종,대전,16,19,0.84
8,최태욱,포항,16,21,0.76
8,오승범,포항,16,23,0.7
