no,name,team,change,numOfGame,changePerGame
1,김성구,현대,19,19,1
1,윤성효,포철,19,29,0.66
3,손종찬,유공,18,21,0.86
3,박지호,LG,18,22,0.82
3,안성일,대우,18,24,0.75
6,김태진1,대우,17,17,1
6,박남열,일화,17,22,0.77
6,오동천,일화,17,25,0.68
9,하재훈,유공,16,18,0.89
9,임근재,LG,16,19,0.84
9,박종찬1,일화,16,21,0.76
9,이기근,대우,16,23,0.7
9,차상해,포철,16,23,0.7
