no,name,team,change,numOfGame,changePerGame
1,심봉섭,대우,30,30,1
2,이태호,대우,26,33,0.79
3,김준현,유공,25,29,0.86
3,김이주,일화,25,35,0.71
3,유수상,대우,25,35,0.71
6,이장욱,LG,21,27,0.78
7,김귀화,대우,19,19,1
7,김영주,일화,19,21,0.9
7,황영우,LG,19,26,0.73
7,강재순,현대,19,27,0.7
