no,name,team,change,numOfGame,changePerGame
1,황영우,포철,17,18,0.94
2,문영래,유공,15,15,1
2,백종철,현대,15,20,0.75
4,이태형1,대우,14,18,0.78
5,이계원,포철,13,19,0.68
6,김종환,유공,12,15,0.8
6,신상근,럭금,12,15,0.8
6,조긍연,포철,12,15,0.8
9,최대식,대우,11,13,0.85
