no,name,team,change,numOfGame,changePerGame
1,이광재,포항,21,24,0.88
2,최성국,성남,20,27,0.74
3,정경호2,경남,19,21,0.9
4,주광윤,전남,18,18,1
4,남기일,성남,18,19,0.95
4,김동석1,서울,18,21,0.86
4,박재현,인천,18,22,0.82
4,한정화,부산,18,23,0.78
4,오승범,포항,18,26,0.69
10,여승원,광주상,17,20,0.85
10,이용승,경남,17,22,0.77
10,이길훈,광주상,17,24,0.71
