no,name,team,change,numOfGame,changePerGame
1,김동현3,수원,20,24,0.83
1,코난,포항,20,26,0.77
3,노병준,전남,19,20,0.95
4,김병채,광주상,18,21,0.86
5,김형범,울산,17,17,1
5,알리송,대전,17,17,1
5,에듀1,전북,17,18,0.94
5,진순진,대구,17,19,0.89
5,수호자,울산,17,21,0.81
5,나드손,수원,17,26,0.65
