no,name,team,change,numOfGame,changePerGame
1,레안드리뉴,전남,29,30,0.97
2,김동섭,성남,28,34,0.82
2,레오나르도,전북,28,35,0.8
4,유창현,포항,27,28,0.96
4,카이오,전북,27,32,0.84
4,산토스,수원,27,35,0.77
7,진성욱,인천,25,26,0.96
7,송수영,경남,25,33,0.76
9,김동희,성남,24,32,0.75
10,이상협,전북,23,24,0.96
10,이정협,상주,23,25,0.92
10,이천수,인천,23,28,0.82
