no,name,team,change,numOfGame,changePerGame
1,이현호,제주,26,26,1
2,네코,제주,25,29,0.86
3,송호영,성남,24,25,0.96
4,남준재,인천,23,25,0.92
5,로브렉,전북,22,25,0.88
5,서상민,경남,22,26,0.85
7,정조국,서울,21,26,0.81
8,이창훈,강원,20,21,0.95
8,안성남,강원,20,23,0.87
10,강수일,인천,19,21,0.9
10,이현진,수원,19,21,0.9
