no,name,team,change,numOfGame,changePerGame
1,전경준,포항,23,30,0.77
2,이기근,수원,22,26,0.85
3,김진형,부천유공,19,25,0.76
3,이기범,천안,19,27,0.7
3,윤상철,안양LG,19,30,0.63
6,김윤근,부천유공,18,24,0.75
6,고성민,전북,18,27,0.67
6,김봉길,전남,18,32,0.56
9,데니스,수원,17,17,1
9,강준호,안양LG,17,19,0.89
9,김기선,전남,17,19,0.89
9,정정수,울산,17,20,0.85
