no,name,team,change,numOfGame,changePerGame
1,정경호,울산,37,38,0.97
2,노병준,전남,36,39,0.92
3,이원식,부천SK,35,38,0.92
4,황연석,성남,33,37,0.89
5,이관우,대전,30,38,0.79
6,추운기,전북,29,31,0.94
6,코난,포항,29,40,0.73
8,진순진,안양LG,28,40,0.7
9,샤샤2,성남,27,39,0.69
10,윤정환,성남,26,30,0.87
