no,name,team,change,numOfGame,changePerGame
1,정정수,현대,22,26,0.85
2,김봉길,유공,19,26,0.73
3,김상훈1,LG,18,19,0.95
4,이주영1,버팔,17,21,0.81
4,김이주,일화,17,24,0.71
6,이기근,대우,16,17,0.94
6,권중화,LG,16,18,0.89
6,임근재,LG,16,18,0.89
6,오동천,일화,16,19,0.84
10,유승관,버팔,15,15,1
10,이기범,일화,15,19,0.79
10,노경환,대우,15,22,0.68
