no,name,team,change,numOfGame,changePerGame
1,김진용2,성남,27,30,0.9
2,박종진,강원,21,23,0.91
2,하대성,전북,21,26,0.81
4,라돈치치,성남,20,28,0.71
4,윤준하,강원,20,28,0.71
6,한동원,성남,19,21,0.9
6,히카도,제주,19,23,0.83
6,김동찬,경남,19,27,0.7
6,김철호,성남,19,28,0.68
10,스테보,포항,18,20,0.9
10,브라질리아,전북,18,21,0.86
10,정조국,서울,18,21,0.86
10,호물로,부산,18,21,0.86
10,김승용,서울,18,23,0.78
