no,name,team,change,numOfGame,changePerGame
1,김이주,일화,19,20,0.95
2,권해창,대우,18,19,0.95
3,김종건2,현대,17,22,0.77
4,임재선,현대,16,16,1
4,박남열,일화,16,17,0.94
4,공문배,포항,16,20,0.8
4,이태홍,일화,16,20,0.8
4,이상윤,일화,16,24,0.67
9,함상헌,LG,15,18,0.83
9,김종식,현대,15,20,0.75
9,황인성,전남,15,23,0.65
