no,name,team,change,numOfGame,changePerGame
1,노병준,포항,26,29,0.9
2,주앙파울로,광주,25,27,0.93
3,황일수,대구,24,27,0.89
4,정성훈1,전북,23,26,0.88
4,이현호,제주,23,27,0.85
4,한지호,부산,23,27,0.85
7,박준태,인천,22,23,0.96
7,한교원,인천,22,27,0.81
9,김동찬,전북,21,22,0.95
9,고창현,울산,21,26,0.81
